Product_ID,Product_name,Category,Unit_Cost,Unit_Price
1052,Wayona USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,152.75,267.22
1093,Ambrane USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3816.39,4209.44
1015,Sounce USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,261.56,371.4
1072,boAt USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4330.03,4467.75
1061,Portronics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,637.37,692.71
1021,pTron USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,900.79,1106.51
1083,boAt USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2408.81,2624.09
1087,MI USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3702.51,3964.65
1075,TP-Link Wireless USB Adapters,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,738.06,1095.45
1075,Ambrane USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2228.35,2682.34
1088,Portronics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2440.11,2517.6
1100,boAt USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1100.81,1137.44
1024,AmazonBasics HDMI Cables,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",622.01,641.09
1003,Portronics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4190.28,4270.65
1022,Portronics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2537.2,2869.6
1053,MI USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,121.19,487.65
1002,MI Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",4024.76,4420.15
1088,Ambrane USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4904.93,5034.35
1030,boAt USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3049.33,3209.22
1038,LG Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",2543.36,2790.1
1002,Duracell USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4398.16,4439.12
1064,tizum HDMI Cables,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",4764.96,5074.42
1060,Samsung Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",3784.96,4276.99
1021,Flix USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2254.99,2441.79
1033,Acer Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",2981.5,3360.4
1076,Tizum HDMI Cables,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",3519.63,3774.65
1058,OnePlus Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",1011.65,1084.28
1022,Ambrane USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2263.65,2558.95
1089,Duracell USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4157.62,4314.56
1049,boAt USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3290.89,3317.75
1091,AmazonBasics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2085.46,2406.58
1059,Ambrane USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3333.64,3764.52
1042,Zoul USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,635.2,814.14
1092,Samsung USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2037.41,2238.65
1060,pTron USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3975.99,4422.59
1080,pTron USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1141.52,1550.19
1015,Amazonbasics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970.51,1330.84
1062,Sounce USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4756.55,4888.46
1062,OnePlus Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",1088.99,1545
1047,Duracell USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1341.55,1427.21
1062,AmazonBasics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4849.6,5166.72
1051,Mi Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",3686.81,3710.92
1055,Wayona USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3513,3838.42
1064,TP-Link Wireless USB Adapters,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,4271.99,4417.79
1003,FLiX USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,623.32,853.66
1051,Wecool USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3544.48,3723.66
1007,D-Link Wireless USB Adapters,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,2543.26,2637.91
1021,Amazon HDMI Cables,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",4154.3,4469.07
1073,7SEVENÂ® Remote Controls,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",2565.3,3007.47
1039,Amazonbasics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3120.19,3600.14
1018,TP-Link Wireless USB Adapters,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,2414.82,2519.07
1004,AmazonBasics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2416.89,2778.4
1089,AmazonBasics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3851.45,4186.98
1060,VW Standard Televisions,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",3161.4,3339.66
1014,Ambrane USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3184.65,3204.01
1009,Tata Remote Controls,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",2278.9,2626.9
1090,TP-LINK Wireless USB Adapters,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,2678.99,3152.28
1053,OnePlus Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",3741.3,4061.04
1002,Wecool USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4138.41,4361.7
1084,Portronics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3497.98,3765.31
1092,Airtel Remote Controls,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",4624.16,4731.98
1060,Samsung Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",4110.6,4488.37
1071,Lapster USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2831.23,3206.98
1044,AmazonBasics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3373.46,3454.76
1008,Redmi Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",4635.23,5075.44
1047,Amazon HDMI Cables,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",3114.88,3256.78
1035,Portronics USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4132.79,4624.1
1078,Acer Standard Televisions,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",3459.61,3657.23
1081,Model-P4 TV Wall & Ceiling Mounts,"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",2782.08,2879.24
1036,Amazon USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1247.1,1429.44
1050,oraimo USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2158.69,2384.38
1004,CEDO USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4840.33,4884.29
1002,Redmi Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",3305.94,3599.27
1006,Pinnaclz USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2843.76,3146.6
1054,boAt USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4668.14,5040.22
1004,Ambrane USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2953.23,2977.52
1054,Ambrane USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2654.11,2929.32
1093,TCL Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",3808.59,3844.51
1063,SWAPKART USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,3577.69,3931.25
1018,Firestick Remote Controls,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1006.14,1043.45
1090,Wayona USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2382.98,2839.73
1044,Flix USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2388.95,2742.97
1034,SKYWALL Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",1922.21,2180.83
1074,boAt USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2610.6,2836.94
1062,Wayona USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2094.88,2168.91
1100,OnePlus Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",1036.76,1189.35
1014,Acer Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",2091.21,2527
1095,Samsung Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",407.77,860.95
1048,Lapster USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2900.14,2910.51
1015,Wayona USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4275.59,4576.72
1072,Gizga Wireless USB Adapters,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,3640.17,4002.63
1078,OnePlus Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",1833.95,2147.14
1087,boAt USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,481,531.02
1062,Lapster USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1050.64,1167.33
1040,TCL Smart Televisions,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",2750.18,2882.85
1085,ZEBRONICS Wireless USB Adapters,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1074.93,1492.48
1080,LOHAYA Remote Controls,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",2742.67,2979.64
1082,Gilary USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1196.42,1444.97
1053,TP-Link Wireless USB Adapters,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,4252.17,4720.27
1024,Wayona USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2016.49,2338.66
1026,Dealfreez Remote Controls,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1265.48,1715.83
1089,Amazon USB Cables,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4071.01,4304.7
